lat,long,url,magnitude,depth,places,time
38.8260002,-122.7959976,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905461,1.16,2.32,"6km W of Cobb, California",1507333007350
33.4773333,-116.4008333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020728,0.72,10.83,"22km SSW of La Quinta, CA",1507332793870
37.3721,-117.1156,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608352,0.1,4.9,"38km SSE of Goldfield, Nevada",1507331873291
37.3873,-117.1189,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608335,0.7,7.1,"37km SSE of Goldfield, Nevada",1507331395299
37.3789,-117.1247,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608334,1.1,8.2,"37km SSE of Goldfield, Nevada",1507331333919
64.9749,-147.2293,https://earthquake.usgs.gov/earthquakes/eventpage/ak16991557,1.4,0,"24km NE of Badger, Alaska",1507331263084
-10.0631,152.3875,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b2ba,4.6,10,"117km SSW of Kulumadau, Papua New Guinea",1507331103520
39.6124,73.3529,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b2b9,4.2,10,"15km SE of Sary-Tash, Kyrgyzstan",1507331091160
60.3395,-152.4583,https://earthquake.usgs.gov/earthquakes/eventpage/ak16991437,2,72.9,"22km SE of Redoubt Volcano, Alaska",1507330383962
43.0121,138.9649,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b2av,4.3,217.94,"125km W of Iwanai, Japan",1507329021540
37.3796,-117.1225,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608355,0.5,8.6,"37km SSE of Goldfield, Nevada",1507328921688
37.3806,-117.1363,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608330,0.5,11.3,"37km SSE of Goldfield, Nevada",1507328337019
37.3861,-117.1198,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608329,1.3,8.7,"37km SSE of Goldfield, Nevada",1507328136999
46.858,-112.5365,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259519,0.69,14.59,"15km SE of Lincoln, Montana",1507327769150
34.34,-116.9556667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020720,1.45,-0.29,"11km NNW of Big Bear Lake, CA",1507327306610
46.5723333,-122.9916667,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338531,1.37,-0.3,"6km W of Napavine, Washington",1507326914640
46.2,-122.1761667,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338526,0.51,1.37,"38km NNE of Amboy, Washington",1507326761320
39.8413,-120.7467,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608326,0.9,8.8,"16km SE of East Quincy, California",1507326504923
39.8477,-120.747,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608354,1,10,"16km SE of East Quincy, California",1507326343697
39.8485,-120.7538333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905451,1.47,6.72,"16km SE of East Quincy, California",1507326329600
43.6846667,-110.3203333,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259514,0.8,9.25,"42km ENE of Jackson, Wyoming",1507325962680
43.6895,-110.294,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259509,0.7,6.83,"44km ENE of Jackson, Wyoming",1507325445150
36.5666667,-121.127,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905441,1.23,9.16,"23km NE of Soledad, California",1507325408690
17.7456,145.6471,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b29t,4.5,196.33,"42km SSW of Pagan, Northern Mariana Islands",1507325144410
43.3691667,-110.6923333,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259504,0.8,1.99,"10km SE of South Park, Wyoming",1507324689640
36.5565,-121.1556667,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905436,1.41,6.94,"21km NE of Soledad, California",1507323505830
32.5786667,-116.991,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020712,1.19,2.62,"6km ENE of San Ysidro, CA",1507323492150
33.495,-116.516,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020704,0.65,14.35,"16km ESE of Anza, CA",1507322587920
46.1978333,-122.1795,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338506,0.55,3.43,"38km NNE of Amboy, Washington",1507322091500
38.107,-122.1788333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905431,1,-0.02,"6km E of Vallejo, California",1507321021480
62.2007,-148.1644,https://earthquake.usgs.gov/earthquakes/eventpage/ak16991182,1,15.5,"57km NE of Sutton-Alpine, Alaska",1507320721326
63.1717,-150.5804,https://earthquake.usgs.gov/earthquakes/eventpage/ak16991178,1.8,121.4,"85km WSW of Cantwell, Alaska",1507320357991
37.5335,-121.6886667,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905426,1.24,6.91,"17km SSE of Livermore, California",1507320241050
33.8608333,-117.516,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020680,1.5,0.62,"2km SSE of Home Gardens, CA",1507320090270
33.7623333,-116.0336667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020672,0.92,4.67,"16km NE of Coachella, CA",1507319743220
59.7754,-136.6965,https://earthquake.usgs.gov/earthquakes/eventpage/ak16991069,1.8,0,"85km WNW of Skagway, Alaska",1507318145350
33.5111667,-116.792,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020664,0.71,5.91,"10km NE of Aguanga, CA",1507317575970
63.6837,-146.3172,https://earthquake.usgs.gov/earthquakes/eventpage/ak16991058,2.6,3.7,"48km SW of Delta Junction, Alaska",1507317554328
36.1483333,-117.6466667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020656,1.03,0.93,"29km ENE of Coso Junction, CA",1507317548410
35.0025,-118.1915,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020648,1.08,-0.87,"6km SSW of Mojave, CA",1507317476900
37.4576667,-118.8033333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905416,1.19,-0.31,"25km SE of Mammoth Lakes, California",1507317386760
46.1956667,-122.1726667,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338466,0.06,3.86,"38km NNE of Amboy, Washington",1507317179570
46.1826667,-122.3463333,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338461,-0.08,7.76,"31km NNE of Amboy, Washington",1507316930000
43.5533333,-121.7105,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338426,1.65,7.02,"21km SW of La Pine, Oregon",1507316609360
45.9945,-112.4771667,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259489,1.66,-2,"4km ESE of Butte, Montana",1507316359200
32.9413333,-116.362,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020624,1.22,10.15,"20km NE of Pine Valley, CA",1507316271630
46.8541667,-121.7518333,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338411,0.39,1.25,"28km NNW of Packwood, Washington",1507315790290
62.7834,-148.9279,https://earthquake.usgs.gov/earthquakes/eventpage/ak16991011,2,4.5,"67km S of Cantwell, Alaska",1507315584886
-49.2406,68.9484,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b26p,4.7,12.63,"93km W of Port-aux-Francais, French Southern Territories",1507315423830
38.4011,-118.8603,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608349,0.5,10.8,"24km WSW of Hawthorne, Nevada",1507314940571
33.5056667,-116.795,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020608,0.64,4.84,"10km NE of Aguanga, CA",1507314362680
33.5088333,-116.7915,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020600,0.65,6.16,"10km NE of Aguanga, CA",1507314282500
42.6331667,-111.457,https://earthquake.usgs.gov/earthquakes/eventpage/uu60251447,2.18,4.91,"12km E of Soda Springs, Idaho",1507314096180
36.9809,-116.5953,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608348,-0.1,3.2,"16km ENE of Beatty, Nevada",1507313776486
33.505,-116.7953333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020592,0.63,4.83,"10km NE of Aguanga, CA",1507313717310
37.9203333,-121.9623333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905411,1.24,-0.33,"3km SW of Clayton, California",1507313481610
47.7416667,-123.4376667,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338391,0.87,9.33,"40km S of Port Angeles East, Washington",1507312311200
36.7082,-116.3199,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608310,0.9,8.8,"45km ESE of Beatty, Nevada",1507312060058
30.0408,86.7792,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b260,4.5,10,"97km NNW of Ngamring, China",1507311862330
35.0528333,-118.3516667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020552,1.28,-1.01,"12km SE of Tehachapi, CA",1507311788210
-35.3352,-15.5634,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b25h,5.3,10,Tristan da Cunha region,1507311683270
62.1214,-149.9372,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990870,1.8,48.9,"6km SW of Y, Alaska",1507310931075
38.5802,-118.6177,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608306,1.9,5.9,"6km N of Hawthorne, Nevada",1507310059424
38.8073349,-122.8199997,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905381,0.78,1.93,"6km WNW of The Geysers, California",1507309823260
37.387,143.8474,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b24c,4.6,30.86,"251km ESE of Ishinomaki, Japan",1507309684290
38.6737,-119.4061,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608312,0.8,14.2,"13km SSW of Smith Valley, Nevada",1507309506752
46.8671667,-112.5305,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259479,1.25,12.62,"15km SE of Lincoln, Montana",1507309316470
46.2213333,-122.2113333,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338366,0.46,3.47,"37km S of Morton, Washington",1507308902520
33.4471667,-116.6045,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020528,0.7,11.31,"14km SSE of Anza, CA",1507308788380
33.5068333,-116.7931667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020520,0.57,5.14,"10km NE of Aguanga, CA",1507308497710
42.6026667,-111.4603333,https://earthquake.usgs.gov/earthquakes/eventpage/uu60251412,2.1,6.75,"13km ESE of Soda Springs, Idaho",1507308318150
37.4573333,-118.8033333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905346,2.33,0.99,"25km SE of Mammoth Lakes, California",1507308237260
35.6338333,-116.2815,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020512,1.61,6.15,"24km SSW of Tecopa, CA",1507308155060
37.64,-118.8808333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905341,0.7,5.39,"8km E of Mammoth Lakes, California",1507307786820
34.0145,-116.3141667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020480,1.04,2.75,"13km S of Joshua Tree, CA",1507307612510
38.3864,-118.9037,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608347,0.4,9.6,"28km WSW of Hawthorne, Nevada",1507307579520
66.2332,-150.0099,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990671,1.6,1.8,"114km S of Coldfoot, Alaska",1507307067130
35.9745,-117.5436667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020456,0.3,4.93,"26km NNW of Searles Valley, CA",1507305814940
38.7836667,-122.706,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905326,1.17,2.5,"4km SSE of Cobb, California",1507305678060
37.4646667,-118.8216667,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905321,0.76,4.09,"24km SSE of Mammoth Lakes, California",1507305387720
46.8575,-112.5315,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259459,0.95,12.4,"15km SE of Lincoln, Montana",1507305300890
47.8226667,-114.2213333,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259499,0.33,1.23,"15km NNW of Polson, Montana",1507305154260
33.5111667,-116.7923333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020416,0.52,6.23,"10km NE of Aguanga, CA",1507303438770
33.876,-117.0198333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020408,1.2,-0.6,"7km SSW of Beaumont, CA",1507302977930
60.1679,-153.2441,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990501,2.8,148.9,"44km SW of Redoubt Volcano, Alaska",1507302735109
37.0997,141.1969,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b20f,5.4,47.42,"28km ENE of Iwaki, Japan",1507301800580
67.5663,-156.519,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990465,1.7,0,"75km NNE of Kobuk, Alaska",1507301707708
31.614,-115.8941667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020392,2.6,5.89,"65km E of Maneadero, B.C., MX",1507301676460
59.8037,-152.1925,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990463,1.6,20,"20km W of Anchor Point, Alaska",1507300956103
42.5548333,-111.4363333,https://earthquake.usgs.gov/earthquakes/eventpage/uu60251397,1.18,9.68,"17km SE of Soda Springs, Idaho",1507300478100
39.4223,-119.9267,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608296,1.1,8.7,"10km S of Mogul, Nevada",1507299948387
35.7521667,-118.4766667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020376,1.4,2.24,"5km W of Kernville, CA",1507299919340
38.4131,-118.9217,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608295,2,8.7,"28km WSW of Hawthorne, Nevada",1507298898804
12.0039,95.0977,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b1zv,5.1,21.82,"258km E of Port Blair, India",1507298433140
38.4227,-118.346,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608345,0.5,3.1,"26km ESE of Hawthorne, Nevada",1507298122307
33.6311667,-116.7028333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020328,0.72,17.82,"9km NNW of Anza, CA",1507297995060
38.2432,-118.7374,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608344,0.3,9.8,"32km SSW of Hawthorne, Nevada",1507296825769
63.3167,-150.4456,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990379,2,112,"75km W of Cantwell, Alaska",1507296668722
38.6667,-119.7775,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608346,0.6,6.1,"24km S of Gardnerville Ranchos, Nevada",1507295565174
60.9026,-149.6485,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990317,2.4,21.1,"37km SSE of Anchorage, Alaska",1507295355033
38.8051667,-122.7755,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905256,1.69,0.72,"3km NNW of The Geysers, California",1507295344860
38.809166,-122.7801666,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905251,0.49,0.89,"4km NNW of The Geysers, California",1507295330130
46.2013333,-122.1863333,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338306,0.18,4.44,"38km NNE of Amboy, Washington",1507295235300
34.2261667,-117.445,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020296,0.98,12.35,"4km W of Devore, CA",1507294899000
38.8134995,-122.7973328,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905246,1.14,2.36,"5km NW of The Geysers, California",1507294685610
38.8223333,-122.8061667,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905241,1.27,1.56,"6km NW of The Geysers, California",1507294429860
37.6233333,-118.8278333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905236,0.36,3.73,"13km ESE of Mammoth Lakes, California",1507293760120
63.5211,-147.164,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990306,1.6,0,"90km E of Cantwell, Alaska",1507293337500
38.7716667,-122.6003333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905231,1.31,0.05,"2km NNE of Middletown, California",1507293268040
46.8941667,-112.5576667,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259449,1.29,9.91,"11km SE of Lincoln, Montana",1507293189490
34.0403333,-117.8488333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020272,0.93,11.1,"3km NE of Walnut, CA",1507292017660
34.1728333,-117.7568333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020264,0.54,6.23,"8km N of La Verne, CA",1507291381380
37.5653333,-118.7983333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905226,1.25,-0.35,"17km ESE of Mammoth Lakes, California",1507291334810
34.1728333,-117.7578333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020256,2,6.62,"8km N of La Verne, CA",1507290973570
35.8228333,-118.3556667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020240,1.05,16.75,"10km NE of Kernville, CA",1507290356170
-6.8684,155.9405,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b1xz,5.2,106.51,"73km WSW of Chirovanga, Solomon Islands",1507289341850
35.9345,-120.4838333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905216,0.4,4.59,"25km SSW of Coalinga, California",1507288876920
46.201,-122.1816667,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338261,0.36,1.89,"38km NNE of Amboy, Washington",1507287958630
45.6895,-122.5093333,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338256,1.22,9.57,"4km ENE of Orchards, Washington",1507287741010
34.0003333,-116.8455,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020232,1.4,9.47,"9km NNE of Banning, CA",1507287412090
44.2591667,-114.5795,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259444,1.6,3.88,"38km SW of Challis, Idaho",1507286758530
43.6813333,-110.3221667,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259434,1.18,9.95,"42km ENE of Jackson, Wyoming",1507286693390
51.2318,-178.2949,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990167,3,28,"56km E of Amatignak Island, Alaska",1507285562299
65.2966,-156.0402,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990162,3.2,0.1,"67km NNW of Ruby, Alaska",1507285408267
33.5046667,-116.7935,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020224,0.18,6.5,"10km NE of Aguanga, CA",1507284295140
19.2805004,-155.4236603,https://earthquake.usgs.gov/earthquakes/eventpage/hv61935226,1.78,7.76,"10km NE of Pahala, Hawaii",1507284229580
18.8768333,-155.2488333,https://earthquake.usgs.gov/earthquakes/eventpage/hv61935131,1.67,12.183,"43km SSE of Pahala, Hawaii",1507283791470
37.5998333,-119.0001667,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905191,-0.04,1.09,"5km SSW of Mammoth Lakes, California",1507283235510
63.251,-151.1519,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990109,1.9,0,"111km W of Cantwell, Alaska",1507282869514
-0.4925,119.9639,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b1xd,4.4,44.07,"45km NNE of Palu, Indonesia",1507281825250
61.5105,-150.7545,https://earthquake.usgs.gov/earthquakes/eventpage/ak16990102,1.6,70.6,"42km W of Big Lake, Alaska",1507281420124
33.6626667,-116.7285,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020216,0.24,13.45,"9km S of Idyllwild, CA",1507280293800
46.2273333,-122.2175,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338216,0.04,5.33,"37km S of Morton, Washington",1507279398540
19.3803333,-156.2205,https://earthquake.usgs.gov/earthquakes/eventpage/hv61935091,2.94,14.051,"33km WSW of Captain Cook, Hawaii",1507279304370
39.4096,-115.2224,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608291,1.6,5.7,"33km WNW of Ely, Nevada",1507279195578
33.4875,-116.7916667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020200,0.85,5.3,"8km NE of Aguanga, CA",1507279185650
33.9196667,-116.8165,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020192,0.52,2.02,"3km W of Cabazon, CA",1507279094200
33.9326667,-116.8445,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020184,0.51,4.57,"3km ENE of Banning, CA",1507278947940
37.4838333,-118.8245,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905186,0.99,5.31,"22km SE of Mammoth Lakes, California",1507278858510
37.5466667,-118.8315,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905181,0.66,0.74,"16km SE of Mammoth Lakes, California",1507278035190
37.485,143.9537,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b1v8,6,10,"255km ESE of Ishinomaki, Japan",1507276773110
33.7291667,-116.7078333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020168,0.43,17.62,"2km SE of Idyllwild, CA",1507276016690
33.4951667,-116.792,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020160,0.75,4.47,"9km NE of Aguanga, CA",1507275040550
42.6606667,-111.444,https://earthquake.usgs.gov/earthquakes/eventpage/uu60251377,1.43,5.95,"13km E of Soda Springs, Idaho",1507274976970
59.8808,-136.7235,https://earthquake.usgs.gov/earthquakes/eventpage/ak16989976,3.1,0,"92km WNW of Skagway, Alaska",1507274375943
47.4556667,-115.9978333,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259414,1.86,1.73,"5km S of Osburn, Idaho",1507273645130
13.8504,146.6145,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b1v0,4.7,10,"156km ESE of Rota, Northern Mariana Islands",1507273552100
36.6023,-116.2599,https://earthquake.usgs.gov/earthquakes/eventpage/nn00608288,0.1,6.4,"50km NNW of Pahrump, Nevada",1507273410122
64.8537,-148.7833,https://earthquake.usgs.gov/earthquakes/eventpage/ak16989973,1.3,19.7,"34km NNE of North Nenana, Alaska",1507272833815
38.7996674,-122.8106689,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905171,0.85,2.89,"5km WNW of The Geysers, California",1507272363000
47.7033333,-122.0383333,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338186,0.94,11.39,"2km NNW of Union Hill-Novelty Hill, Washington",1507271037240
61.7195,-150.3206,https://earthquake.usgs.gov/earthquakes/eventpage/ak16989967,1.9,41,"15km WSW of Willow, Alaska",1507270303410
32.9488333,-115.5573333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020152,1.08,3.78,"4km SW of Brawley, CA",1507270230410
42.6517,-111.4493,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b1um,2.7,7.67,"12km E of Soda Springs, Idaho",1507269804040
33.7713333,-116.6776667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020144,0.66,13.65,"5km NE of Idyllwild, CA",1507269770500
38.822,-122.8011667,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905156,1.79,2.67,"6km W of Cobb, California",1507269478010
37.5365,-118.8795,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905161,0.41,5.63,"14km SSE of Mammoth Lakes, California",1507269422930
38.6015,-122.4781667,https://earthquake.usgs.gov/earthquakes/eventpage/nc71107634,1.13,12.1,"3km NW of Angwin, California",1507269413290
51.6139,178.4985,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b1un,4.3,71.76,"37km S of Little Sitkin Island, Alaska",1507269388630
42.6528333,-111.4553333,https://earthquake.usgs.gov/earthquakes/eventpage/uu60251357,1.47,2.92,"12km E of Soda Springs, Idaho",1507268672130
64.2744,-148.2116,https://earthquake.usgs.gov/earthquakes/eventpage/ak16989960,1.1,14.8,"55km SE of North Nenana, Alaska",1507268319981
19.329,-155.4288333,https://earthquake.usgs.gov/earthquakes/eventpage/hv61935031,1.75,10.185,"14km NNE of Pahala, Hawaii",1507267817920
37.607,-118.8231667,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905151,1.08,4,"13km ESE of Mammoth Lakes, California",1507267299070
46.873,-112.5321667,https://earthquake.usgs.gov/earthquakes/eventpage/mb80259404,1.03,11.23,"14km SE of Lincoln, Montana",1507266753410
-17.5702,-64.1261,https://earthquake.usgs.gov/earthquakes/eventpage/us2000b1u8,4.6,36.33,"36km WSW of Villa Yapacani, Bolivia",1507265974560
33.0315,-116.4348333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020112,1.06,3.46,"16km ESE of Julian, CA",1507265623210
38.8195,-122.7915,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905146,1.56,1.42,"5km W of Cobb, California",1507265461960
47.5833333,-122.2,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338091,1.62,23.03,"1km NW of Newport, Washington",1507265317630
47.5838333,-122.2003333,https://earthquake.usgs.gov/earthquakes/eventpage/uw61338086,1.33,23.12,"2km S of Bellevue, Washington",1507265080940
33.5108333,-116.7936667,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020104,0.04,5.85,"10km NE of Aguanga, CA",1507264994570
37.6101667,-118.8323333,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905141,0.39,2.99,"13km ESE of Mammoth Lakes, California",1507264860270
42.6396667,-111.4948333,https://earthquake.usgs.gov/earthquakes/eventpage/uu60251347,1.61,0.79,"9km E of Soda Springs, Idaho",1507264823080
36.5571667,-121.0545,https://earthquake.usgs.gov/earthquakes/eventpage/nc72905136,0.82,10.95,"28km ENE of Soledad, California",1507264231380
33.6878333,-116.7265,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020096,0.6,16.16,"6km S of Idyllwild, CA",1507263901200
33.6575,-116.7513333,https://earthquake.usgs.gov/earthquakes/eventpage/ci38020088,0.23,15.44,"10km SSW of Idyllwild, CA",1507263623510
