coordinates,url,magnitude,places,time,excel time,
"[-89.8025, 36.5505, 12.47]",https://earthquake.usgs.gov/earthquakes/eventpage/nm60207666,2.19,"14km E of Malden, Missouri",1.50696E+12,10/2/2017 15:12:39.610 ,
"[-146.8151, 61.2492, 19.9]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16988065,2.7,"28km WNW of Valdez, Alaska",1.50696E+12,10/2/2017 14:59:51.417 ,
"[127.1289, 2.6798, 25.66]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axtv,4.7,"143km NW of Tobelo, Indonesia",1.50695E+12,10/2/2017 14:08:10.020 ,
"[-149.2609, 64.6409, 14.4]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16987055,1.1,"9km NW of North Nenana, Alaska",1.50695E+12,10/2/2017 13:55:13.029 ,
"[-122.7853317, 38.8165016, 1.96]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903091,0.52,"5km W of Cobb, California",1.50695E+12,10/2/2017 13:41:39.890 ,
"[-122.7516632, 38.8328323, 0.68]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903081,1.18,"2km WNW of Cobb, California",1.50695E+12,10/2/2017 13:27:31.670 ,
"[51.6372, 28.6895, 10]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axtl,4.7,"76km SSE of Borazjan, Iran",1.50695E+12,10/2/2017 13:25:16.850 ,
"[-111.084, 44.7795, 11.23]",https://earthquake.usgs.gov/earthquakes/eventpage/uu60250902,1.34,"13km N of West Yellowstone, Montana",1.50695E+12,10/2/2017 13:01:08.120 ,
"[-155.6031647, 19.4743328, 1.02]",https://earthquake.usgs.gov/earthquakes/eventpage/hv61929981,2.46,"27km E of Honaunau-Napoopoo, Hawaii",1.50695E+12,10/2/2017 12:55:42.600 ,
"[-97.5037, 36.2851, 3.93]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axsh,2.6,"19km W of Perry, Oklahoma",1.50695E+12,10/2/2017 12:39:56.150 ,
"[-118.2635, 38.4975, 8.5]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607859,0.3,"31km E of Hawthorne, Nevada",1.50695E+12,10/2/2017 12:30:49.624 ,
"[-151.1189, 63.1205, 16.2]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16987046,1.5,"102km NNW of Talkeetna, Alaska",1.50695E+12,10/2/2017 12:25:30.357 ,
"[-120.8834991, 36.3171654, 6.77]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903071,1.4,"24km ENE of King City, California",1.50695E+12,10/2/2017 12:16:32.080 ,
"[-61.2682, 13.209, 136.91]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axs4,4.3,"6km NNW of Kingstown Park, Saint Vincent and the Grenadines",1.50695E+12,10/2/2017 12:08:34.440 ,
"[176.4854, -37.3176, 354.86]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axsa,4.3,"49km NE of Tauranga, New Zealand",1.50695E+12,10/2/2017 11:50:01.990 ,
"[-149.912, 63.0196, 66]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16986042,1.3,"63km SW of Cantwell, Alaska",1.50694E+12,10/2/2017 11:20:25.411 ,
"[-118.8808365, 37.5304985, 3.04]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903066,1.02,"15km SSE of Mammoth Lakes, California",1.50694E+12,10/2/2017 11:04:47.920 ,
"[-145.3257, 63.3321, 6.7]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16986039,1.4,"60km S of Deltana, Alaska",1.50694E+12,10/2/2017 10:49:26.267 ,
"[-118.501, 34.2925, 9.14]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016776,1.49,"2km N of Granada Hills, CA",1.50694E+12,10/2/2017 10:41:40.770 ,
"[-155.5240021, 19.9190006, 20.11]",https://earthquake.usgs.gov/earthquakes/eventpage/hv61929926,2.13,"18km SSW of Honoka'a, Hawaii",1.50694E+12,10/2/2017 10:40:25.170 ,
"[-88.2184, 12.3486, 35.55]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axrm,4.9,"94km WSW of Jiquilillo, Nicaragua",1.50694E+12,10/2/2017 10:22:16.050 ,
"[-117.0671667, 34.2083333, 2.04]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016768,1.12,"4km E of Running Springs, CA",1.50694E+12,10/2/2017 10:05:46.370 ,
"[-117.0648333, 34.2078333, 2.06]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016760,1.75,"4km E of Running Springs, CA",1.50694E+12,10/2/2017 10:01:42.900 ,
"[-120.9104996, 36.3650017, 8.55]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903041,2.12,"25km NE of King City, California",1.50694E+12,10/2/2017 10:00:25.820 ,
"[-152.1495, 63.1057, 3.5]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16985035,1.7,"135km NW of Talkeetna, Alaska",1.50694E+12,10/2/2017 09:58:23.105 ,
"[-116.4488333, 33.481, 8.33]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016752,1.08,"22km ESE of Anza, CA",1.50694E+12,10/2/2017 09:53:44.070 ,
"[-146.8806, 64.6842, 6.7]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16985032,1.1,"8km ENE of Eielson Air Force Base, Alaska",1.50694E+12,10/2/2017 09:40:59.442 ,
"[-116.9548333, 33.5348333, 10.63]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016744,0.69,"13km NW of Aguanga, CA",1.50694E+12,10/2/2017 09:34:55.370 ,
"[-90.1365, 35.88, 10.55]",https://earthquake.usgs.gov/earthquakes/eventpage/nm60207636,1.71,"2km E of Manila, Arkansas",1.50694E+12,10/2/2017 09:31:47.930 ,
"[-117.0582, 37.1076, 7.5]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607856,0.3,"34km NW of Beatty, Nevada",1.50694E+12,10/2/2017 09:17:55.499 ,
"[-122.7965012, 38.8258324, 2.81]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903036,0.86,"6km W of Cobb, California",1.50694E+12,10/2/2017 09:10:03.480 ,
"[-117.9338333, 34.4551667, 9.48]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016736,0.88,"6km SSW of Pearblossum, CA",1.50694E+12,10/2/2017 09:05:04.740 ,
"[-117.0636667, 34.2075, 1.52]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016728,1.03,"4km E of Running Springs, CA",1.50693E+12,10/2/2017 09:00:28.790 ,
"[-94.8824, 16.708, 65.53]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axr0,4.3,"25km SE of Matias Romero, Mexico",1.50693E+12,10/2/2017 08:41:08.380 ,
"[-116.735, 33.4786667, 14.12]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016720,0.72,"10km SW of Anza, CA",1.50693E+12,10/2/2017 08:34:52.240 ,
"[-122.8106689, 38.8073349, 1.63]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903031,1.64,"5km NW of The Geysers, California",1.50693E+12,10/2/2017 08:33:38.730 ,
"[-116.2176667, 33.0053333, 14.8]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016712,0.74,"17km SSW of Ocotillo Wells, CA",1.50693E+12,10/2/2017 08:26:25.360 ,
"[-117.2646667, 33.3203333, 12.18]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016696,1.74,"5km E of Camp Pendleton North, CA",1.50693E+12,10/2/2017 07:41:07.570 ,
"[-116.0001667, 33.1801667, 3.71]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016688,1.31,"13km ENE of Ocotillo Wells, CA",1.50693E+12,10/2/2017 07:34:16.060 ,
"[-151.5448, 63.1998, 0]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16985021,2.3,"122km NW of Talkeetna, Alaska",1.50693E+12,10/2/2017 07:01:05.686 ,
"[-155.4204, 67.3068, 0]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16985020,1.7,"77km NE of Kobuk, Alaska",1.50693E+12,10/2/2017 06:58:19.500 ,
"[-117.7741667, 33.7103333, 12.54]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016680,1.08,"3km NNE of Irvine, CA",1.50693E+12,10/2/2017 06:52:50.610 ,
"[-148.829, 65.5759, 9.2]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16985018,1.1,"89km NNW of Ester, Alaska",1.50693E+12,10/2/2017 06:44:58.712 ,
"[-155.4123383, 19.2455006, 33.84]",https://earthquake.usgs.gov/earthquakes/eventpage/hv61929841,1.98,"8km ENE of Pahala, Hawaii",1.50693E+12,10/2/2017 06:38:18.850 ,
"[-122.7910004, 38.8339996, 2.13]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903021,0.56,"6km WNW of Cobb, California",1.50693E+12,10/2/2017 06:33:54.500 ,
"[-82.8946667, 34.9895, 0.16]",https://earthquake.usgs.gov/earthquakes/eventpage/se60045313,1.9,"20km NW of Pickens, South Carolina",1.50693E+12,10/2/2017 06:32:03.790 ,
"[-148.5467, 65.155, 3.8]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16984019,1.1,"42km NW of Ester, Alaska",1.50693E+12,10/2/2017 06:28:51.082 ,
"[-116.4246667, 33.0406667, 9.85]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016672,1.02,"17km ESE of Julian, CA",1.50693E+12,10/2/2017 06:16:44.470 ,
"[-150.2817, 61.9608, 23.3]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16984018,1.4,"27km NNW of Willow, Alaska",1.50692E+12,10/2/2017 06:14:31.383 ,
"[-112.0338333, 38.6003333, 7.01]",https://earthquake.usgs.gov/earthquakes/eventpage/uu60250872,1.58,"8km ESE of Monroe, Utah",1.50692E+12,10/2/2017 06:12:56.930 ,
"[-154.1032, 58.7701, 99]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16984009,3,"118km SSE of Old Iliamna, Alaska",1.50692E+12,10/2/2017 06:06:21.290 ,
"[174.3565, -41.7636, 24.13]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axq4,4.2,"43km SE of Blenheim, New Zealand",1.50692E+12,10/2/2017 06:00:37.060 ,
"[-122.8051682, 38.8263321, 2.34]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72903011,0.79,"6km NW of The Geysers, California",1.50692E+12,10/2/2017 05:59:15.030 ,
"[-116.5891667, 32.7808333, 12.71]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016664,1.49,"7km SW of Pine Valley, CA",1.50692E+12,10/2/2017 05:46:45.850 ,
"[-116.0083333, 33.1778333, 10.17]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016656,2.39,"12km ENE of Ocotillo Wells, CA",1.50692E+12,10/2/2017 05:45:45.260 ,
"[-179.4587, -21.8514, 582.95]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axq3,4.7,"154km SSW of Ndoi Island, Fiji",1.50692E+12,10/2/2017 05:45:26.070 ,
"[-116.0086667, 33.1788333, 9.34]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016648,2.46,"12km ENE of Ocotillo Wells, CA",1.50692E+12,10/2/2017 05:42:39.240 ,
"[-122.8935, 47.8878333, 54.22]",https://earthquake.usgs.gov/earthquakes/eventpage/uw61336471,3.25,"15km WSW of Port Ludlow, Washington",1.50692E+12,10/2/2017 05:30:19.710 ,
"[-116.5895, 33.2253333, 17.27]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016640,0.48,"8km SSE of Warner Springs, CA",1.50692E+12,10/2/2017 05:29:59.290 ,
"[-89.5278333, 36.2436667, 7.74]",https://earthquake.usgs.gov/earthquakes/eventpage/nm60207631,1.51,"4km WSW of Ridgely, Tennessee",1.50692E+12,10/2/2017 05:29:39.830 ,
"[-116.2223333, 33.2793333, 9.64]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016624,0.92,"14km E of Borrego Springs, CA",1.50692E+12,10/2/2017 05:14:56.080 ,
"[72.4324, 38.1132, 115.18]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axpv,4.8,"90km ESE of Vanj, Tajikistan",1.50692E+12,10/2/2017 05:13:25.270 ,
"[-116.5545, 33.5193333, 13.39]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016616,0.69,"12km ESE of Anza, CA",1.50692E+12,10/2/2017 05:12:57.530 ,
"[-116.8091667, 33.4908333, 2.02]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016608,0.21,"7km NE of Aguanga, CA",1.50692E+12,10/2/2017 05:02:11.510 ,
"[-147.5212, 66.5767, 2.8]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16983007,1.4,"99km W of Fort Yukon, Alaska",1.50692E+12,10/2/2017 04:52:25.331 ,
"[-120.5246658, 35.9681664, 10.48]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72902986,1.94,"24km SW of Coalinga, California",1.50692E+12,10/2/2017 04:48:05.230 ,
"[-97.5118, 36.9048, 4.52]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axpm,2.2,"16km SSE of Caldwell, Kansas",1.50692E+12,10/2/2017 04:46:44.410 ,
"[-122.7925034, 38.8153343, 3.41]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72902981,0.75,"5km NW of The Geysers, California",1.50692E+12,10/2/2017 04:43:07.470 ,
"[-122.2451667, 46.3451667, 8.35]",https://earthquake.usgs.gov/earthquakes/eventpage/uw61336446,1.29,"23km S of Morton, Washington",1.50692E+12,10/2/2017 04:38:42.990 ,
"[-117.0447, 37.0828, 7.6]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607845,0.9,"31km NW of Beatty, Nevada",1.50692E+12,10/2/2017 04:35:17.513 ,
"[-116.796, 33.5003333, 4.76]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016584,2.31,"9km NE of Aguanga, CA",1.50692E+12,10/2/2017 04:29:15.700 ,
"[-116.43, 33.0288333, 3.21]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016576,1,"17km ESE of Julian, CA",1.50692E+12,10/2/2017 04:01:59.110 ,
"[-116.044, 33.2468333, 4]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016568,1.09,"10km SW of Salton City, CA",1.50692E+12,10/2/2017 03:57:25.830 ,
"[-116.7538333, 33.328, 12.26]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016560,0.43,"10km N of Lake Henshaw, CA",1.50692E+12,10/2/2017 03:42:02.710 ,
"[-118.4821667, 35.754, 3.27]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016552,1.32,"5km W of Kernville, CA",1.50692E+12,10/2/2017 03:39:37.280 ,
"[-155.0218353, 19.3974991, 0.02]",https://earthquake.usgs.gov/earthquakes/eventpage/hv61929701,2.26,"13km SW of Leilani Estates, Hawaii",1.50692E+12,10/2/2017 03:37:46.040 ,
"[-97.5196, 36.2819, 4.38]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axp9,2.5,"20km W of Perry, Oklahoma",1.50692E+12,10/2/2017 03:32:58.660 ,
"[-116.7875, 33.4925, 4.57]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016544,0.34,"9km NE of Aguanga, CA",1.50692E+12,10/2/2017 03:31:57.840 ,
"[-118.8848343, 37.5149994, 5.7]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72902966,1.01,"16km SSE of Mammoth Lakes, California",1.50691E+12,10/2/2017 03:05:12.980 ,
"[-154.9176, 55.7636, 20.8]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16982006,3.4,"44km E of Chirikof Island, Alaska",1.50691E+12,10/2/2017 03:02:43.596 ,
"[-112.5073, 46.8582, 10.64]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axp5,2.7,"17km SE of Lincoln, Montana",1.50691E+12,10/2/2017 03:02:30.820 ,
"[-118.856163, 37.5923347, -2.25]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72902961,0.85,"11km ESE of Mammoth Lakes, California",1.50691E+12,10/2/2017 02:59:55.560 ,
"[-119.6499, 39.1996, 4.8]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607858,0.8,"6km SW of Dayton, Nevada",1.50691E+12,10/2/2017 02:38:40.921 ,
"[-119.6502, 39.197, 5.9]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607852,0.6,"6km SW of Dayton, Nevada",1.50691E+12,10/2/2017 02:36:00.518 ,
"[-146.8167, 61.2439, 26.6]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16982001,1.1,"28km WNW of Valdez, Alaska",1.50691E+12,10/2/2017 01:56:13.983 ,
"[-151.4652, 63.4358, 10]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16981998,0.7,"125km W of Cantwell, Alaska",1.50691E+12,10/2/2017 01:38:11.227 ,
"[-151.5285, 63.1691, 0]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16981996,1.3,"118km NW of Talkeetna, Alaska",1.50691E+12,10/2/2017 01:36:45.944 ,
"[-151.6012, 59.5948, 56.3]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16982000,1.4,"6km SSW of Homer, Alaska",1.50691E+12,10/2/2017 01:35:56.528 ,
"[-111.4159, 42.5178, 6.97]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axnx,2.6,"21km SE of Soda Springs, Idaho",1.50691E+12,10/2/2017 01:29:02.490 ,
"[-145.2312, 63.3329, 7.3]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16981992,1.8,"60km S of Deltana, Alaska",1.50691E+12,10/2/2017 01:27:58.571 ,
"[-116.7871667, 33.5093333, 9.26]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016520,1.76,"10km NE of Aguanga, CA",1.50691E+12,10/2/2017 01:23:18.200 ,
"[-117.699, 36.0791667, 2.62]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016512,0.61,"23km E of Coso Junction, CA",1.50691E+12,10/2/2017 01:10:41.890 ,
"[-122.4278336, 38.402668, 7.37]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72902936,1.5,"5km W of Yountville, California",1.50691E+12,10/2/2017 00:56:27.370 ,
"[-155.5845032, 19.484333, 2.03]",https://earthquake.usgs.gov/earthquakes/eventpage/hv61929496,1.71,"29km E of Honaunau-Napoopoo, Hawaii",1.50691E+12,10/2/2017 00:49:24.520 ,
"[-149.7914, 61.5177, 34.2]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16981986,1.5,"8km E of Big Lake, Alaska",1.5069E+12,10/2/2017 00:21:03.272 ,
"[-116.7936667, 33.5023333, 5.16]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016496,1.6,"9km NE of Aguanga, CA",1.5069E+12,10/2/2017 00:17:48.250 ,
"[-116.7905, 33.4911667, 4.5]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016480,0.59,"9km NE of Aguanga, CA",1.5069E+12,10/2/2017 00:12:49.120 ,
"[-122.8071671, 38.8241653, 4.04]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72902926,0.88,"6km NW of The Geysers, California",1.5069E+12,10/2/2017 00:09:29.480 ,
"[-122.815834, 38.8106651, 2.75]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72902921,0.84,"6km NW of The Geysers, California",1.5069E+12,10/2/2017 00:06:54.990 ,
"[-114.7954, 37.1971, 7.1]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607841,2.5,"37km ESE of Alamo, Nevada",1.5069E+12,10/1/2017 23:49:20.242 ,
"[-124.5061667, 40.3085, 21.45]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72902911,2.66,"36km SW of Ferndale, California",1.5069E+12,10/1/2017 23:47:56.700 ,
"[-150.607, 63.1042, 123]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16981979,1.9,"89km WSW of Cantwell, Alaska",1.5069E+12,10/1/2017 23:43:24.355 ,
"[-138.1646, 60.887, 2.6]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16980981,1.5,"38km WNW of Haines Junction, Canada",1.5069E+12,10/1/2017 23:14:31.788 ,
"[-116.2758333, 33.9766667, 2.65]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016456,1.6,"18km S of Joshua Tree, CA",1.5069E+12,10/1/2017 23:07:33.440 ,
"[-122.8101654, 38.8168335, 1.1]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72902901,1.02,"6km NW of The Geysers, California",1.5069E+12,10/1/2017 23:01:15.730 ,
"[-141.9098, 60.5412, 16.1]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16980976,1.2,"60km NNE of Cape Yakataga, Alaska",1.5069E+12,10/1/2017 22:32:44.947 ,
"[-149.1388, 61.9315, 6.8]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16980971,1.8,"21km NNE of Fishhook, Alaska",1.5069E+12,10/1/2017 22:24:19.514 ,
"[-119.6949, 39.7631, 6.9]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607835,0.9,"12km N of Spanish Springs, Nevada",1.5069E+12,10/1/2017 22:22:19.627 ,
"[-149.9717, 65.528, 13.9]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16980968,2,"66km NNE of Manley Hot Springs, Alaska",1.5069E+12,10/1/2017 22:20:01.940 ,
"[-121.6988333, 46.8703333, 2.24]",https://earthquake.usgs.gov/earthquakes/eventpage/uw61336361,0.86,"29km N of Packwood, Washington",1.5069E+12,10/1/2017 22:09:30.280 ,
"[-139.4801, 60.0183, 0]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16980965,1.7,"54km NNE of Yakutat, Alaska",1.5069E+12,10/1/2017 22:06:22.815 ,
"[-116.8326667, 33.714, 16.17]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016448,1.5,"7km SE of Valle Vista, CA",1.5069E+12,10/1/2017 22:01:59.120 ,
"[-116.7956667, 33.512, 4.95]",https://earthquake.usgs.gov/earthquakes/eventpage/ci38016440,0.84,"10km NE of Aguanga, CA",1.50689E+12,10/1/2017 21:45:19.860 ,
"[-119.6519, 39.1963, 5.8]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607826,1.4,"6km SW of Dayton, Nevada",1.50689E+12,10/1/2017 21:35:33.690 ,
"[-118.4447, 38.227, 7]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607836,-0.2,"36km SSE of Hawthorne, Nevada",1.50689E+12,10/1/2017 21:32:16.515 ,
"[-118.4467, 37.388, 10]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607834,1.1,"2km W of Dixon Lane-Meadow Creek, California",1.50689E+12,10/1/2017 21:22:52.104 ,
"[-149.8631, 61.4265, 46.8]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16980964,1.2,"11km SSE of Big Lake, Alaska",1.50689E+12,10/1/2017 21:18:30.615 ,
"[-149.2079, 64.5758, 15.6]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16980957,1.1,"4km W of North Nenana, Alaska",1.50689E+12,10/1/2017 20:42:22.299 ,
"[-136.6975, 59.7744, 0]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16980945,1.7,"85km WNW of Skagway, Alaska",1.50689E+12,10/1/2017 20:39:20.657 ,
"[-152.2691, 59.2151, 55.5]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16980939,2.7,"62km SW of Homer, Alaska",1.50689E+12,10/1/2017 20:38:57.968 ,
"[-149.1083, 61.5648, 11.6]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16980943,2,"3km S of Palmer, Alaska",1.50689E+12,10/1/2017 20:38:52.904 ,
"[-118.8184967, 37.6106682, 3.26]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72902876,1.07,"14km ESE of Mammoth Lakes, California",1.50689E+12,10/1/2017 20:38:33.260 ,
"[-96.7952, 35.9855, 3.13]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axlg,2.5,"2km W of Cushing, Oklahoma",1.50689E+12,10/1/2017 20:34:27.740 ,
"[-121.623497, 36.9803352, 1.8]",https://earthquake.usgs.gov/earthquakes/eventpage/nc72902871,1.35,"5km WSW of Gilroy, California",1.50689E+12,10/1/2017 20:34:04.690 ,
"[-149.3529, 62.2982, 27.5]",https://earthquake.usgs.gov/earthquakes/eventpage/ak16980936,1.6,"30km ENE of Y, Alaska",1.50689E+12,10/1/2017 20:32:45.114 ,
"[-119.0233, 38.0747, 8.8]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607823,0.7,"27km SE of Bridgeport, California",1.50689E+12,10/1/2017 20:12:55.100 ,
"[-97.4467, 36.1992, 5.42]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axkq,3.3,"17km SW of Perry, Oklahoma",1.50689E+12,10/1/2017 19:43:43.210 ,
"[-116.2919, 36.5515, 4.2]",https://earthquake.usgs.gov/earthquakes/eventpage/nn00607810,0.5,"47km NW of Pahrump, Nevada",1.50689E+12,10/1/2017 19:32:43.018 ,
"[-94.3923, 15.6065, 68.63]",https://earthquake.usgs.gov/earthquakes/eventpage/us2000axkh,4.4,"73km SW of Paredon, Mexico",1.50689E+12,10/1/2017 19:22:28.640 ,
